transcript_id,q_value
ENST00000487970.1,3.38E-09
ENST00000530170.1,3.50E-09
ENST00000550645.5,3.57E-09
ENST00000503641.5,3.62E-09
ENST00000447866.5,3.66E-09
ENST00000607357.2,3.66E-09
ENST00000473578.5,3.67E-09
ENST00000637452.2,3.75E-09
ENST00000548117.5,3.78E-09
ENST00000546847.5,3.78E-09
ENST00000507088.5,3.91E-09
ENST00000550184.5,4.04E-09
ENST00000582911.6,4.04E-09
ENST00000648702.1,4.18E-09
ENST00000396858.5,4.30E-09
ENST00000592760.1,4.54E-09
ENST00000519690.1,4.56E-09
ENST00000653147.1,4.64E-09
ENST00000676262.1,4.64E-09
ENST00000547703.5,4.87E-09
ENST00000598273.5,4.88E-09
ENST00000466588.5,5.10E-09
ENST00000311521.8,5.15E-09
ENST00000444761.6,5.17E-09
ENST00000489785.5,5.23E-09
ENST00000550846.5,5.27E-09
ENST00000381724.8,5.37E-09
ENST00000616082.3,5.54E-09
ENST00000669413.1,5.80E-09
ENST00000708938.1,5.81E-09
ENST00000506797.5,5.83E-09
ENST00000628004.1,6.02E-09
ENST00000395159.7,6.06E-09
ENST00000503040.5,6.13E-09
ENST00000528439.5,6.17E-09
ENST00000549989.1,6.38E-09
ENST00000520040.5,6.38E-09
ENST00000592786.5,6.44E-09
ENST00000635728.1,6.53E-09
ENST00000482846.1,6.54E-09
ENST00000621160.5,6.62E-09
ENST00000533181.1,6.65E-09
ENST00000467789.5,6.71E-09
ENST00000584441.5,6.74E-09
ENST00000293831.13,6.75E-09
ENST00000495843.1,6.77E-09
ENST00000591776.5,7.03E-09
ENST00000527577.5,7.05E-09
ENST00000555619.6,7.05E-09
ENST00000567391.5,7.05E-09
ENST00000306388.10,7.21E-09
ENST00000521734.1,7.28E-09
ENST00000478196.6,7.30E-09
ENST00000554961.5,7.65E-09
ENST00000479784.1,7.71E-09
ENST00000487106.5,8.13E-09
ENST00000332680.8,8.51E-09
ENST00000374450.8,8.72E-09
ENST00000373626.4,8.79E-09
ENST00000413995.1,8.85E-09
ENST00000709369.1,8.89E-09
ENST00000709370.1,8.89E-09
ENST00000409711.1,9.25E-09
ENST00000645119.1,9.86E-09
ENST00000477733.1,1.04E-08
ENST00000644040.1,1.04E-08
ENST00000347941.4,1.04E-08
ENST00000622405.4,1.11E-08
ENST00000551018.5,1.12E-08
