Gene name	fold change	p-value
RPS23	1.66376413850459	1.04176336251781E-10
MX1	8.11226381553093	1.07676653126948E-10
POLR3G	3.03305778996785	1.08567429887683E-10
CASP4LP	3.16695602501244	1.09641499026603E-10
UBE2A	1.59220682254188	1.10805948842133E-10
MRPS23	2.97281275746799	1.18768724701522E-10
LINC02895	-3.24785505822674	1.20927242417592E-10
HEY2	8.10237336056208	1.29823465560181E-10
POLR2J	1.95934581422105	1.3029056254379E-10
NOP10	1.6344450902943	1.3029056254379E-10
RNA5-8SN3	-0.988991293951196	1.34059741774181E-10
RNA5-8SN5	-0.967062511631104	1.45633033467877E-10
NOP10	1.64500473634573	1.59421470347217E-10
DUSP23	1.57527565830756	1.62653256103951E-10
HIGD1A	1.37240924663852	1.64071203968972E-10
POLR2F	1.90576665221431	1.77777453264827E-10
EEF1D	1.24457609006442	1.80022134606484E-10
NDUFA8	1.65515252382524	1.88396933293712E-10
IFT25	2.01412598548324	1.92741254326812E-10
MRPS33	1.74634605628321	2.00176242401865E-10
ARPC3	1.41768741508181	2.15690917915431E-10
RPS17	1.54156382142179	2.2184748444074E-10
ZNF226	2.81272918043415	2.29537080615979E-10
KGD4	1.67212509674361	2.48639330665915E-10
RPS9	2.32841861606198	2.57058420161007E-10
MGP	1.53411200016249	2.57388634142585E-10
LBHD1	1.84955817012864	2.61976512262655E-10
COX6C	1.5345919578638	2.64674142537264E-10
RPL27A	1.47378307966011	2.64781359021586E-10
BOLA3	1.98512601964111	2.66138548015309E-10
RPS25	1.57183111976348	2.705553723072E-10
PSMA6	1.3806165068484	2.72923310399898E-10
CHCHD5	1.5725449888576	2.72923310399898E-10
RPS25	1.57162735313865	2.9720287643137E-10
NPEPPSP1	7.90758404923747	2.98766116875149E-10
NPEPPSP1	7.88590491074487	2.99841500754096E-10
ANAPC11	1.7644809215249	3.1123807131291E-10
RNA5-8SN4	-0.974100695652954	3.21516545546736E-10
PRDX6	0.942062460442625	3.28426931068995E-10
ATP6V0E1	1.58632326053451	3.6057013006619E-10
SNRPD1	1.58841362235983	3.97044095057283E-10
CYB5A	2.38491466144251	4.22300970926462E-10
SNHG5	-1.45245272665504	4.22741383811181E-10
RPAIN	1.83340343074976	4.42321263360213E-10
MRPS17	1.89699764812638	4.51120724681605E-10
MRPL47	1.70191152429868	4.62680113849767E-10
FKBP2	1.63990184344929	4.65263880985651E-10
MAGED4	-1.31816773144997	4.82852198341426E-10
SPCS2	1.1431880717776	4.91342520766126E-10
APP	-0.819269210641004	5.31249499220404E-10
COPS6	0.946189688683269	5.33667094810594E-10
PRDX4	1.19883221126746	5.56506606717898E-10
H2BC6	-2.43655123957618	5.61294284923476E-10
TRAPPC2B	2.89853031436967	5.63134142806335E-10
GJA5	7.77079756469233	5.8237438173233E-10
LINC00702	4.48256164377371	6.29787408929099E-10
MRPL40	1.8627999707862	7.18078712763023E-10
MTND4P12	-1.09564081475182	7.67326712901933E-10
LEPROTL1	2.17758767762114	7.86018026218209E-10
LGALS1	1.07120571700356	7.97458491327465E-10
RPS26	1.65233466592146	8.34380057359708E-10
COA3	1.98658936572746	8.99717611572427E-10
RPL35A	1.42486807926583	1.13905422516055E-9
POLR2K	1.59132913737803	1.14167142854387E-9
ZNRD2	1.53262289751922	1.16742221359712E-9
LSM5	1.70240858182425	1.18551473868147E-9
LSP1P5	1.97724975421389	1.24408392757979E-9
ATP5MG	1.44396384664414	1.29610638622513E-9
SNHG32	1.52257462695272	1.30411854080352E-9
0	0.802177895221396	1.40191158790862E-9
RPS15A	1.51970960296413	1.40460844768782E-9
PTTG1	1.90204597233219	1.41904885916154E-9
CARD16	1.86453520949705	1.43229357473901E-9
PSMA3	1.04422911750689	1.43280215855489E-9
S100A6	1.27348113338703	1.51360675497251E-9
CYSTM1	1.68036766255991	1.51451056743499E-9
