gene_id	gene_name	logFC	logCPM	F	PValue	FDR
MSTRG.28688	MSTRG.28688	-1.22605876018724	6.09553400506931	37.8049144445272	2.43461021142733e-07	4.73559563338777e-05
MSTRG.4166		-2.06910262110587	3.56079554322749	37.7667862196545	2.45975381962349e-07	4.73697750030711e-05
MSTRG.20	MSTRG.20	1.26667575511447	5.6887160277622	37.7476118446531	2.4725011088295e-07	4.73697750030711e-05
MSTRG.18		2.14277743382867	4.99789271973428	37.7120750090784	2.49630983517355e-07	4.74690081418337e-05
MSTRG.25686	MSTRG.25686	2.55658046021499	3.80094308933449	37.5049970669771	2.63991379486464e-07	4.98278840051451e-05
MSTRG.19750		-2.17082461252403	3.52476070594156	37.4300150813595	2.69402651330754e-07	5.04753599894039e-05
MSTRG.6846		-2.22647400309708	3.14149957151222	37.2382542844405	2.8377749749515e-07	5.2780543165503e-05
MSTRG.24902		1.3623217785483	6.97461167618759	37.0981390550942	2.94788177405905e-07	5.37791204406254e-05
ENSG00000276725.4	CEP170	-2.86398544858226	3.0775078636126	37.0924879612174	2.95241549258347e-07	5.37791204406254e-05
ENSG00000291408.1	ENSG00000291408	1.3156981539684	6.11573791389025	37.0895433606314	2.95478076279877e-07	5.37791204406254e-05
MSTRG.25500		-1.58425655444866	5.57059062507877	36.9495092314523	3.06959040568741e-07	5.54725057640574e-05
MSTRG.4119	MSTRG.4119	1.69386187004224	11.7492848821114	36.9166458050391	3.09720596204545e-07	5.55773979710424e-05
MSTRG.17789		-6.00937546103594	0.78378610219258	36.5739256763889	3.40122605934894e-07	6.06060428099792e-05
MSTRG.15660	MSTRG.15660	1.50252804956907	8.19486157880977	36.2550658251431	3.7122519793212e-07	6.52498799596338e-05
MSTRG.13185	MSTRG.13185	4.22875596445523	1.36566276367908	36.2542804367879	3.71305388098854e-07	6.52498799596338e-05
MSTRG.24483		-5.79725738098671	0.59048470400045	36.1119781129002	3.86139011937713e-07	6.70584148048925e-05
MSTRG.25498		-2.21811341392953	3.21947882776344	36.0950339955788	3.87946236494532e-07	6.70584148048925e-05
ENSG00000237710.10	HLA-DPB1	-6.45814745008038	0.394094567255392	38.7578568418998	3.91400143806285e-07	6.70584148048925e-05
MSTRG.3464		-3.60936805541138	2.02152441336353	36.0386872072347	3.94020141769185e-07	6.70584148048925e-05
MSTRG.23794	MSTRG.23794	1.83840403543441	4.78635585889388	36.0319282523539	3.94755395028997e-07	6.70584148048925e-05
ENSG00000226826.10	HLA-DPB1	-6.42436810705747	0.368403956099573	38.6859375149605	3.98295549422818e-07	6.7211714535383e-05
MSTRG.11359	MSTRG.11359	1.64969141715229	5.1127221438898	35.9651950427401	4.02092494729695e-07	6.74060451197853e-05
MSTRG.3773	MSTRG.3773	6.63706402736096	0.639354534344425	38.0858401953172	4.11856575759635e-07	6.85916170387664e-05
MSTRG.1516		-2.50618408749995	2.79420040014743	35.623121048627	4.42014488265827e-07	7.31361764642957e-05
MSTRG.3946	MSTRG.3946	3.46061376357555	2.7489370507514	35.498943421148	4.57517159681157e-07	7.52128693279714e-05
ENSG00000227715.11	HLA-A	1.25500732425283	5.07046215432873	35.3562702963074	4.76035453008868e-07	7.77555088340959e-05
ENSG00000275688.4	CCL15-CCL14	1.30884592996457	5.4116607394376	35.1330114572281	5.06607419461045e-07	8.19175160071102e-05
MSTRG.5447	MSTRG.5447	1.22529205624444	8.16073167187834	35.1224439327751	5.08104577108547e-07	8.19175160071102e-05
MSTRG.11464	MSTRG.11464	1.64255812324962	5.22288556135714	35.1009738423839	5.1116067050471e-07	8.19175160071102e-05
