gene_id	gene_name	sample02	sample03	sample04	sample09	sample10	sample11	sample12	sample13	sample14	sample15	sample16	sample17	sample18	sample19	sample20
MSTRG.17979		15	39	27	12	65	22	59	7	8	24	12	1	1	1	12
MSTRG.1798		89	53	35	80	53	39	88	21	37	79	35	20	6	28	15
MSTRG.17980		381	196	101	422	415	549	196	357	460	517	432	414	50	369	459
MSTRG.17981		8	4	4	14	10	12	4	16	16	20	14	8	0	6	4
MSTRG.17982		1	2	2	4	1	7	0	3	3	4	7	9	0	4	3
MSTRG.17983		20	20	16	56	29	40	31	26	76	68	51	33	5	18	17
MSTRG.17984		0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
MSTRG.17985		0	0	0	0	0	0	0	1	7	1	0	0	0	0	0
MSTRG.17986		3	1	1	0	1	5	4	5	37	7	5	7	0	8	0
MSTRG.17987		0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
MSTRG.1799		0	3	0	0	0	0	0	1	0	0	1	2	0	1	0
MSTRG.17991		50	51	18	78	41	12	29	14	99	91	60	15	2	39	36
MSTRG.17994	MSTRG.17994	4	1	0	1	3	6	4	12	1	9	3	0	0	0	0
MSTRG.17995		10	22	1	4	35	8	12	45	31	35	14	0	0	22	0
MSTRG.17996		0	0	0	10	6	16	1	14	10	8	10	8	6	24	24
MSTRG.17997	MSTRG.17997	66	69	19	75	48	61	49	107	75	138	123	97	9	88	62
MSTRG.17999		10	16	12	16	8	7	7	6	11	19	7	9	4	2	6
MSTRG.18		20	26	8	105	39	232	11	232	330	334	303	342	85	326	275
MSTRG.1800		3	2	0	1	0	3	2	1	5	3	1	3	1	2	2
MSTRG.18000		0	0	0	0	0	0	0	0	0	6	2	1	0	1	0
MSTRG.18001		48	42	16	72	38	43	9	0	71	22	26	1	0	41	34
MSTRG.18003	MSTRG.18003	25	20	33	29	36	36	44	12	61	89	34	10	1	7	17
MSTRG.18004		0	0	6	0	2	3	2	0	0	2	0	0	0	4	1
MSTRG.18010	MSTRG.18010	515	613	363	2592	1125	4041	667	2409	2785	2995	3111	2993	571	3074	2724
MSTRG.18012		41	41	9	15	31	21	31	43	29	27	38	24	0	5	30
MSTRG.18013	MSTRG.18013	0	0	0	0	0	3	0	0	0	6	0	0	0	2	0
MSTRG.18015	MSTRG.18015	39	15	8	25	20	19	20	35	23	23	26	18	3	21	23
