"Log2MeanExon"	"Log2FC"	"pvalue"	"padj"
"MSTRG.6861:MSTRG.6861.9"	7.97674104766227	-0.0298239255074391	3.72737243591083e-08	1.47301935721108e-05
"MSTRG.23649:ENST00000677646.1"	3.90588175541328	1.84879043250656	3.84729599957615e-08	1.49683983668678e-05
"MSTRG.1849:ENST00000369099.8"	7.89531156168243	0.183086474366369	3.86534384652188e-08	1.49683983668678e-05
"MSTRG.23330:ENST00000620597.2"	7.40454374517471	0.337890197914133	3.81408282299917e-08	1.49683983668678e-05
"ENSG00000224774.7:ENST00000432290.6"	1.80640731794543	-2.41638892295376	3.83335399065156e-08	1.49683983668678e-05
"MSTRG.56:ENST00000491984.5"	3.85195667510326	0.98942526726888	3.94788378572299e-08	1.52115910147693e-05
"MSTRG.23330:MSTRG.23330.1"	5.72397484453537	-0.584692365782284	4.06474370626051e-08	1.55839442533257e-05
"MSTRG.8670:ENST00000553514.5"	11.3438385108516	0.0557648509361321	4.19739054815367e-08	1.60128371495949e-05
"MSTRG.5764:ENST00000543959.5"	6.71540215749155	-0.0784738723442997	4.22318834521858e-08	1.60318886827209e-05
"MSTRG.7240:ENST00000644593.1"	1.79976261697539	-1.14373384251875	4.54754478479528e-08	1.71785733434262e-05
"MSTRG.6861:MSTRG.6861.4"	7.88384119212616	-0.048633814942737	4.94215497868744e-08	1.85781632667127e-05
"MSTRG.4861:MSTRG.4861.4"	4.2970298278075	-1.38247542175826	5.06902536735613e-08	1.89625841193786e-05
"MSTRG.22805:ENST00000321442.10"	4.93228303654778	1.18123108142976	5.10650846087287e-08	1.90105195657867e-05
"MSTRG.3381:ENST00000333926.6"	7.83412886095662	1.06144694747768	5.73652467143335e-08	2.12532723187498e-05
"MSTRG.11837:ENST00000479035.7"	12.9871765027845	0.103419774187989	6.45157767935785e-08	2.35626293424964e-05
"MSTRG.23649:ENST00000676630.1"	2.86343669776929	2.07750042435269	6.43674344906886e-08	2.35626293424964e-05
"MSTRG.23649:ENST00000682083.1"	0.0569687084418657	3.79130763434212	6.42415977695356e-08	2.35626293424964e-05
"MSTRG.124:ENST00000616290.4"	1.0260598162096	-2.68447211916604	6.80980269787765e-08	2.47536328067853e-05
"MSTRG.23649:ENST00000669678.1"	9.03961287132189	-0.167311505991972	7.2489521692921e-08	2.62262324915487e-05
"MSTRG.23470:ENST00000370913.5"	5.22085216432965	1.63363914539463	7.63697007221813e-08	2.75009433507137e-05
"MSTRG.6439:ENST00000706566.1"	1.14736428491368	-3.2407342807908	7.68651278112122e-08	2.75506068808727e-05
"ENSG00000284889.2:ENST00000645849.1"	3.8636661405963	-1.60273955128249	7.83273683701905e-08	2.79447391728871e-05
"MSTRG.4861:ENST00000526433.1"	4.21325339790206	-1.46236268146728	8.79575570302702e-08	3.12358767735792e-05
"MSTRG.16348:ENST00000481132.5"	2.75165676841277	-2.31984128796403	9.02143388157874e-08	3.18903549441386e-05
"MSTRG.6416:ENST00000548548.1"	5.07359436038871	-1.15989492907303	9.73641344500796e-08	3.42606161141189e-05
"MSTRG.3083:ENST00000487938.5"	9.51988022704984	0.148953626572721	1.0063723767962e-07	3.52513945912132e-05
"MSTRG.22048:ENST00000509578.1"	11.0809273643047	0.142620354792221	1.09466557907813e-07	3.79987021869003e-05
"MSTRG.1849:ENST00000369102.5"	7.89754915614446	0.178523826244547	1.09097318039134e-07	3.79987021869003e-05
"MSTRG.2999:ENST00000665724.1"	2.86708451265508	-2.1684094468781	1.14924488840067e-07	3.97143989192522e-05
"MSTRG.7175:MSTRG.7175.4"	5.23526506743392	-0.623492627636343	1.17604557716389e-07	4.04591179765196e-05
"MSTRG.13688:ENST00000586218.5"	3.48849420378108	-1.37526267075922	1.23937815591558e-07	4.24484264227405e-05
"MSTRG.21067:ENST00000688996.1"	9.4351474646025	0.186130059330916	1.27887993181587e-07	4.34154384606144e-05
"MSTRG.25103:ENST00000511313.5"	5.34606881298216	-0.596744073169321	1.27360535641827e-07	4.34154384606144e-05
"MSTRG.20838:ENST00000411416.6"	1.91749509203416	2.13731099653439	1.29533697421262e-07	4.35900689549227e-05
